,,gain utilisation factor,thermal bridges factor,transmission factor,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,heating days,ventilation rate,heating degree days,irradiation heating season,temperature reduction factor
,,building,building,window,Door_1,Floor_1,Floor_2,Roof_1,Roof_2,Wall_1,Wall_2,Wall_3,Window_1,Window_2,building,building,building,building,building
3,8,0.9561179953886338,0.05,0.5,0.8,0.2192066805845511,0.2346368715083799,0.1393604643914414,0.1044776119402985,0.133974119915281,0.133974119915281,0.133974119915281,0.8,0.8,222,0.5,3463,403,1.02
3,9,0.9505742166113276,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0988002822865208,0.1317492059757675,0.1317492059757675,0.1317492059757675,0.8,0.8,222,0.5,3463,403,1.01
3,10,0.9505892036531556,0.05,0.5,0.8,0.2378255945639864,0.2560975609756098,0.1393604643914414,0.1053027453930048,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.01
3,11,0.9536313049870022,0.05,0.5,0.8,0.2296964725184578,0.2466960352422907,0.1393604643914414,0.0948938093086308,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.02
3,12,0.9519735075630448,0.05,0.5,0.8,0.2296964725184578,0.2466960352422907,0.1393604643914414,0.0948938093086308,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.02
3,13,0.9567009779449868,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0948938093086308,0.1284524194305137,0.1284524194305137,0.1284524194305137,0.8,0.8,222,0.5,3463,403,1.02
3,14,0.9606679205466336,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0948938093086308,0.1284524194305137,0.1284524194305137,0.1284524194305137,0.8,0.8,222,0.5,3463,403,1.02
3,15,0.955733191818591,0.05,0.5,0.8,0.2192066805845511,0.2346368715083799,0.1393604643914414,0.1044776119402985,0.1355768066819997,0.1355768066819997,0.1355768066819997,0.8,0.8,222,0.5,3463,403,1.0
3,16,0.9552001007685316,0.05,0.5,0.8,0.2192066805845511,0.2346368715083799,0.1393604643914414,0.1013024602026049,0.1364174906711253,0.1364174906711253,0.1364174906711253,0.8,0.8,222,0.5,3463,403,1.01
3,17,0.9491323256448476,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0988002822865208,0.133974119915281,0.133974119915281,0.133974119915281,0.8,0.8,222,0.5,3463,403,1.0
3,18,0.9583561671913938,0.05,0.5,0.8,0.2390561937286557,0.2575250836120402,0.1393604643914414,0.1053027453930048,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.01
3,19,0.9558569211310785,0.05,0.5,0.8,0.2296964725184578,0.2466960352422907,0.1393604643914414,0.0948938093086308,0.1297147048604409,0.1297147048604409,0.1297147048604409,0.8,0.8,222,0.5,3463,403,1.01
3,20,0.9550646536686862,0.05,0.5,0.8,0.2114803625377644,0.2258064516129032,0.1393604643914414,0.0948938093086308,0.1269697313229792,0.1269697313229792,0.1269697313229792,0.8,0.8,222,0.5,3463,403,1.01
3,21,0.9591120816612524,0.05,0.5,0.8,0.2008608321377331,0.2137404580152672,0.1393604643914414,0.0919842312746386,0.1230633996264146,0.1230633996264146,0.1230633996264146,0.8,0.8,222,0.5,3463,403,1.01
3,22,0.9442702901188288,0.05,0.5,0.8,0.1853486319505737,0.1962616822429906,0.1393604643914414,0.0879396984924623,0.1170609343971013,0.1170609343971013,0.1170609343971013,0.8,0.8,222,0.5,3463,403,1.01
3,23,0.9463091443823324,0.05,0.5,0.8,0.166270783847981,0.175,0.1393604643914414,0.1127214170692431,0.1421031262687779,0.1421031262687779,0.1421031262687779,0.8,0.8,222,0.5,3463,403,1.01
3,24,0.9585130693041324,0.05,0.5,0.8,0.166270783847981,0.175,0.1393604643914414,0.1166666666666666,0.1421031262687779,0.1421031262687779,0.1421031262687779,0.8,0.8,222,0.5,3463,403,1.01
3,25,0.9492210484527672,0.02,0.5,0.8,0.0,0.1201923076923077,0.0799999999999999,0.0,0.1200871489595306,0.0,0.0,0.7,0.0,222,0.45,3463,403,1.02
3,26,0.9492189982311628,0.02,0.5,0.8,0.0,0.1199999999942307,0.0799999999999999,0.0,0.1199999999975639,0.0,0.0,0.7,0.0,222,0.45,3463,403,1.02
3,27,0.9609017021443016,0.05,0.5,0.8,0.2650130548302872,0.2650130548302872,0.1393604643914414,0.1044776119402985,0.1355768066819997,0.1355768066819997,0.1355768066819997,0.8,0.8,222,0.5,3463,403,1.01
3,28,0.9543259884395968,0.05,0.5,0.8,0.2192066805845511,0.2346368715083799,0.1393604643914414,0.1044776119402985,0.133974119915281,0.133974119915281,0.133974119915281,0.8,0.8,222,0.5,3463,403,0.98
